id 1,Team 1,id 2,Team 2,Goals 1,Goals 2
Group A,,,,,
51,Qatar,46,Ecuador,0,2
20,Senegal,10,Netherlands,1,1
51,Qatar,20,Senegal,1,2
10,Netherlands,46,Ecuador,1,2
46,Ecuador,20,Senegal,1,2
10,Netherlands,51,Qatar,2,0
Group B,,,,,
5,England,21,IR Iran,3,1
15,USA,18,Wales,2,1
18,Wales,21,IR Iran,1,2
5,England,15,USA,2,2
18,Wales,5,England,1,2
21,IR Iran,15,USA,2,2
Group C,,,,,
4,Argentina,49,Saudi Arabia,2,0
9,Mexico,26,Poland,2,2
26,Poland,49,Saudi Arabia,2,1
4,Argentina,9,Mexico,2,1
26,Poland,4,Argentina,1,1
49,Saudi Arabia,9,Mexico,2,3
Group D,,,,,
11,Denmark,35,Tunisia,1,1
3,France,42,Australia,2,1
35,Tunisia,42,Australia,0,1
3,France,11,Denmark,2,1
42,Australia,11,Denmark,1,0
35,Tunisia,3,France,1,2
Group E,,,,,
12,Germany,23,Japan,1,0
7,Spain,31,Costa Rica,1,2
23,Japan,31,Costa Rica,1,1
7,Spain,12,Germany,1,1
23,Japan,7,Spain,1,2
31,Costa Rica,12,Germany,2,1
Group F,,,,,
24,Morocco,16,Croatia,1,2
2,Belgium,38,Canada,2,2
2,Belgium,24,Morocco,2,1
16,Croatia,38,Canada,1,2
16,Croatia,2,Belgium,2,3
38,Canada,24,Morocco,2,2
Group G,,,,,
14,Switzerland,37,Cameroon,3,1
1,Brazil,25,Serbia,3,2
37,Cameroon,25,Serbia,2,2
1,Brazil,14,Switzerland,3,2
25,Serbia,14,Switzerland,1,2
37,Cameroon,1,Brazil,2,3
Group H,,,,,
13,Uruguay,29,South Korea,1,2
8,Portugal,60,Ghana,2,0
29,South Korea,60,Ghana,2,1
8,Portugal,13,Uruguay,1,1
60,Ghana,13,Uruguay,2,2
29,South Korea,8,Portugal,1,2
Round of 16,,,,,
20,Senegal,15,USA,1,2
4,Argentina,42,Australia,2,1
31,Costa Rica,38,Canada,2,0
1,Brazil,29,South Korea,2,1
5,England,46,Ecuador,1,0
3,France,26,Poland,1,0
2,Belgium,7,Spain,0,1
8,Portugal,14,Switzerland,1,0
Quarter final,,,,,
15,USA,4,Argentina,0,1
31,Costa Rica,1,Brazil,0,1
5,England,3,France,0,1
7,Spain,8,Portugal,1,0
Semi-Final,,,,,
4,Argentina,1,Brazil,1,2
3,France,7,Spain,1,0
Third place,,,,,
4,Argentina,7,Spain,0,1
Final,,,,,
1,Brazil,3,France,1,0
